mission_id,robot_id,elapsed_seconds,destination,hotspot_distance,temperature_c,humidity_pct,noise_db,vibration
M0005,R01,0.006,Rack Norte,16.476,24.472,45.187,51.796,1.388
M0005,R01,0.512,Rack Norte,15.254,23.308,43.220,49.780,1.063
M0005,R01,1.015,Rack Norte,13.264,23.875,46.305,52.510,1.406
M0005,R01,1.519,Rack Norte,11.288,23.517,45.276,50.485,1.260
M0005,R01,2.019,Rack Norte,9.341,24.202,44.307,51.949,1.124
M0005,R01,2.524,Rack Norte,8.255,24.375,45.102,51.383,1.300
M0005,R01,3.025,Rack Norte,7.493,24.416,46.108,53.789,1.088
M0005,R01,3.525,Rack Norte,6.838,23.860,44.146,51.684,1.201
M0005,R01,4.027,Rack Norte,6.124,24.504,46.561,53.512,1.398
M0005,R01,4.531,Rack Norte,4.376,24.398,46.083,53.743,1.052
M0005,R01,5.036,Rack Norte,2.353,26.712,47.696,56.990,2.089
M0005,R01,5.480,Rack Norte,0.582,28.942,51.167,59.352,3.222
M0006,R01,0.005,Rack Sur,16.476,24.210,45.955,49.758,1.169
M0006,R01,0.510,Rack Sur,15.396,23.671,44.904,51.385,1.214
M0006,R01,1.014,Rack Sur,13.687,23.613,44.248,50.058,1.059
M0006,R01,1.518,Rack Sur,12.063,24.510,44.211,52.686,1.230
M0006,R01,2.024,Rack Sur,10.416,23.964,46.305,50.329,1.405
M0006,R01,2.526,Rack Sur,8.410,23.769,44.740,51.659,0.997
M0006,R01,3.029,Rack Sur,6.401,23.328,43.352,52.373,1.447
M0006,R01,3.627,Rack Sur,4.007,24.673,44.934,51.748,1.515
M0006,R01,4.129,Rack Sur,1.997,27.183,50.446,56.536,2.556
M0006,R01,4.514,Rack Sur,0.470,28.097,51.583,63.192,3.034
M0007,R01,0.006,Sala Red,5.033,23.927,43.657,54.081,1.431
M0007,R01,0.510,Sala Red,3.807,25.543,48.570,55.813,2.038
M0007,R01,1.011,Sala Red,1.803,29.679,54.807,62.224,3.401
M0007,R01,1.314,Sala Red,0.592,32.190,58.677,67.965,4.662
M0008,R01,0.006,Sala Energia,5.033,24.060,45.609,49.809,1.169
M0008,R01,0.508,Sala Energia,3.814,25.462,47.942,56.316,2.176
M0008,R01,1.012,Sala Energia,1.799,31.525,50.778,63.869,4.611
M0008,R01,1.314,Sala Energia,0.592,34.398,55.194,70.458,6.391
M0009,R01,0.005,Sala Cooling,20.740,24.225,46.244,53.404,0.952
M0009,R01,0.512,Sala Cooling,19.539,24.450,44.957,51.252,1.095
M0009,R01,1.015,Sala Cooling,17.593,24.501,44.444,53.238,1.046
M0009,R01,1.517,Sala Cooling,15.667,24.673,45.784,51.281,1.399
M0009,R01,2.017,Sala Cooling,13.772,23.894,44.200,53.114,1.426
M0009,R01,2.520,Sala Cooling,11.901,23.996,43.972,51.402,0.981
M0009,R01,3.023,Sala Cooling,10.056,24.474,43.306,51.069,0.990
M0009,R01,3.526,Sala Cooling,8.141,23.551,44.317,53.898,1.246
M0009,R01,4.029,Sala Cooling,6.285,23.766,43.572,49.721,1.030
M0009,R01,4.535,Sala Cooling,4.560,23.667,44.847,53.436,1.414
M0009,R01,5.035,Sala Cooling,3.209,28.366,52.006,57.118,2.420
M0009,R01,5.541,Sala Cooling,1.714,33.214,59.961,66.819,3.601
M0009,R01,5.820,Sala Cooling,0.597,36.948,65.434,70.863,4.750
M0010,R01,0.006,Sala UPS,20.740,23.913,45.654,49.905,1.367
M0010,R01,0.506,Sala UPS,19.538,24.460,43.643,53.803,1.159
M0010,R01,1.007,Sala UPS,17.558,24.106,45.306,52.772,1.045
M0010,R01,1.508,Sala UPS,15.578,23.483,45.887,53.029,1.394
M0010,R01,2.014,Sala UPS,13.587,23.987,43.274,50.028,1.227
M0010,R01,2.516,Sala UPS,11.626,23.649,45.215,54.450,1.222
M0010,R01,3.016,Sala UPS,9.687,24.669,43.620,54.387,1.256
M0010,R01,3.518,Sala UPS,7.777,23.614,44.828,51.612,1.343
M0010,R01,4.021,Sala UPS,5.928,24.302,43.957,51.127,1.137
M0010,R01,4.525,Sala UPS,4.335,24.682,47.000,54.624,1.171
M0010,R01,5.028,Sala UPS,4.164,24.923,47.510,50.656,1.490
M0010,R01,5.531,Sala UPS,3.346,25.866,49.291,54.367,2.254
M0010,R01,6.032,Sala UPS,2.631,27.445,50.512,59.896,2.742
M0010,R01,6.537,Sala UPS,0.798,29.501,54.061,63.512,3.669
M0010,R01,6.593,Sala UPS,0.580,30.285,56.357,62.785,4.234
M0011,R01,0.006,Rack Norte,16.476,24.562,45.486,52.562,1.414
M0011,R01,0.512,Rack Norte,15.255,24.231,46.349,53.518,1.301
M0011,R01,1.017,Rack Norte,13.261,23.791,43.285,50.748,1.007
M0011,R01,1.521,Rack Norte,11.280,23.899,44.705,54.226,1.251
M0011,R01,2.022,Rack Norte,9.329,24.101,44.235,53.544,1.071
M0011,R01,2.526,Rack Norte,8.241,24.453,44.171,52.942,1.033
M0011,R01,3.026,Rack Norte,7.493,24.270,43.491,50.673,1.146
M0011,R01,3.528,Rack Norte,6.834,24.578,45.314,52.274,1.360
M0011,R01,4.034,Rack Norte,6.105,24.616,45.558,50.858,1.119
M0011,R01,4.539,Rack Norte,4.338,24.121,46.036,53.723,1.324
M0011,R01,5.040,Rack Norte,2.333,31.748,51.274,62.935,3.792
M0011,R01,5.477,Rack Norte,0.588,37.596,58.465,71.596,5.360
M0012,R01,0.006,Rack Sur,16.476,23.373,46.429,50.874,1.008
M0012,R01,0.511,Rack Sur,15.394,23.456,43.832,52.384,1.094
M0012,R01,1.015,Rack Sur,13.688,23.760,45.989,52.587,1.322
M0012,R01,1.524,Rack Sur,12.048,24.029,46.525,52.362,1.269
M0012,R01,2.027,Rack Sur,10.402,23.336,45.914,50.140,1.368
M0012,R01,2.529,Rack Sur,8.396,23.837,46.647,50.488,1.191
M0012,R01,3.030,Rack Sur,6.390,23.937,45.658,49.782,1.114
M0012,R01,3.533,Rack Sur,4.379,24.566,46.900,54.464,1.414
M0012,R01,4.035,Rack Sur,2.373,30.511,49.308,62.967,3.366
M0012,R01,4.484,Rack Sur,0.578,36.241,54.466,70.059,5.189
M0013,R01,0.006,Sala Red,5.033,23.413,44.316,51.092,1.098
M0013,R01,0.512,Sala Red,3.798,25.092,46.057,57.977,1.613
M0013,R01,1.015,Sala Red,1.788,30.554,51.454,67.390,3.071
M0013,R01,1.317,Sala Red,0.582,32.858,54.783,73.902,4.007
M0014,R01,0.006,Sala Energia,5.033,23.731,46.704,50.112,1.309
M0014,R01,0.510,Sala Energia,3.809,25.437,46.026,57.139,1.990
M0014,R01,1.012,Sala Energia,1.800,29.895,51.989,60.372,4.528
M0014,R01,1.323,Sala Energia,0.562,33.513,54.762,66.102,5.668
M0015,R01,0.007,Sala Cooling,20.740,24.592,43.722,53.467,1.252
M0015,R01,0.510,Sala Cooling,19.673,23.678,44.022,49.556,1.422
M0015,R01,1.012,Sala Cooling,17.936,23.564,46.785,52.259,1.146
M0015,R01,1.515,Sala Cooling,16.182,23.729,44.710,53.463,1.393
M0015,R01,2.021,Sala Cooling,14.275,23.468,45.653,51.201,1.247
M0015,R01,2.524,Sala Cooling,12.292,24.623,43.782,50.528,1.205
M0015,R01,3.025,Sala Cooling,10.326,23.846,45.235,53.446,1.009
M0015,R01,3.529,Sala Cooling,8.370,24.057,44.542,53.893,1.282
M0015,R01,4.035,Sala Cooling,6.462,24.269,45.002,53.825,1.447
M0015,R01,4.539,Sala Cooling,4.734,24.690,44.620,51.275,1.291
M0015,R01,5.042,Sala Cooling,3.357,27.841,49.982,57.492,2.713
M0015,R01,5.548,Sala Cooling,2.067,30.321,53.517,62.889,4.235
M0015,R01,5.927,Sala Cooling,0.579,34.300,58.946,66.933,6.398
M0016,R01,0.008,Sala UPS,20.740,24.627,44.665,53.808,1.088
M0016,R01,0.514,Sala UPS,19.516,23.698,46.148,49.832,1.115
M0016,R01,1.017,Sala UPS,17.522,23.385,45.355,50.144,1.335
M0016,R01,1.522,Sala UPS,15.530,23.737,44.169,52.535,1.312
M0016,R01,2.026,Sala UPS,13.549,23.562,46.690,53.054,1.441
M0016,R01,2.532,Sala UPS,11.571,24.161,43.939,54.241,1.336
M0016,R01,3.037,Sala UPS,9.615,24.636,44.576,52.066,1.331
M0016,R01,3.547,Sala UPS,7.673,24.664,46.682,53.168,1.348
M0016,R01,4.050,Sala UPS,5.834,24.427,45.390,54.216,1.396
M0016,R01,4.556,Sala UPS,4.211,24.210,44.760,55.554,1.421
M0016,R01,5.059,Sala UPS,4.119,25.216,46.517,55.231,1.767
M0016,R01,5.563,Sala UPS,3.293,28.227,49.211,55.720,2.840
M0016,R01,6.068,Sala UPS,2.532,30.392,51.261,60.453,4.043
M0016,R01,6.568,Sala UPS,0.662,34.673,61.370,68.642,6.607
M0016,R01,6.587,Sala UPS,0.585,34.849,60.406,71.795,6.559
M0017,R01,0.006,Rack Norte,16.476,23.954,45.205,51.049,1.009
M0017,R01,0.511,Rack Norte,15.394,24.122,44.616,49.727,1.258
M0017,R01,1.015,Rack Norte,13.681,23.800,45.832,52.219,1.292
M0017,R01,1.519,Rack Norte,12.063,24.093,44.026,51.670,0.980
M0017,R01,2.022,Rack Norte,10.405,24.342,45.706,53.186,1.115
M0017,R01,2.525,Rack Norte,8.452,24.010,44.920,52.219,1.181
M0017,R01,3.029,Rack Norte,6.538,23.684,43.248,52.539,1.407
M0017,R01,3.532,Rack Norte,4.607,23.352,46.103,50.882,1.435
M0017,R01,4.034,Rack Norte,2.626,26.590,47.267,59.194,2.386
M0017,R01,4.537,Rack Norte,0.617,29.415,53.038,59.861,3.364
M0017,R01,4.544,Rack Norte,0.592,29.692,52.485,61.320,3.290
M0018,R01,0.007,Rack Sur,16.476,23.411,44.982,50.314,1.291
M0018,R01,0.512,Rack Sur,15.277,24.303,46.292,53.184,1.359
M0018,R01,1.014,Rack Sur,13.318,24.576,43.777,49.952,1.063
M0018,R01,1.518,Rack Sur,11.370,23.372,45.638,52.976,1.275
M0018,R01,2.022,Rack Sur,9.460,24.096,46.429,51.397,1.402
M0018,R01,2.522,Rack Sur,7.618,24.002,44.030,53.270,1.173
M0018,R01,3.025,Rack Sur,7.201,23.671,43.499,51.917,1.184
M0018,R01,3.531,Rack Sur,6.753,23.464,44.648,51.428,1.183
M0018,R01,4.038,Rack Sur,6.078,23.579,44.990,52.831,1.167
M0018,R01,4.540,Rack Sur,4.302,24.040,45.177,54.018,1.347
M0018,R01,5.045,Rack Sur,2.281,27.116,49.830,57.022,2.235
M0018,R01,5.467,Rack Sur,0.596,28.660,53.841,61.924,2.956
M0019,R01,0.007,Sala Red,5.033,23.529,46.364,49.990,1.256
M0019,R01,0.510,Sala Red,3.808,24.794,47.166,55.188,1.588
M0019,R01,1.012,Sala Red,1.800,26.955,50.194,57.989,2.588
M0019,R01,1.313,Sala Red,0.597,28.379,51.238,58.736,2.922
M0020,R01,0.007,Sala Energia,5.033,23.527,43.499,49.747,1.226
M0020,R01,0.511,Sala Energia,3.802,25.850,44.624,54.229,1.739
M0020,R01,1.016,Sala Energia,1.784,29.608,50.476,63.430,3.942
M0020,R01,1.315,Sala Energia,0.589,32.255,50.434,63.764,5.327
